,labelSrNd
3675,2
3676,2
3677,2
3678,3
3702,4
3717,2
3718,3
3726,2
3727,2
3729,2
3732,3
3739,2
3746,2
3748,2
3751,2
3763,2
3766,2
3767,2
3774,2
3775,3
3782,1
3783,4
3784,1
3788,2
3795,3
3807,2
3808,2
3814,2
3816,3
3825,2
3836,3
3837,3
3838,4
3839,3
3847,2
3849,2
3856,2
3857,2
3863,3
3865,3
3878,2
3883,3
3890,3
3891,3
3893,2
3897,3
3898,2
3899,2
3913,3
3919,3
3921,3
3924,3
3925,3
3926,3
3927,3
3928,3
3929,3
3930,3
3971,4
3972,4
3974,4
3976,4
3983,3
3985,3
4002,4
4004,4
4006,4
4008,3
4015,3
4016,3
4018,4
4022,3
4023,3
4025,4
4026,3
4027,4
4029,2
4063,4
4064,4
4073,1
4082,1
4083,1
4100,3
4101,3
4115,2
4140,2
4150,2
4151,3
4156,2
4157,2
4174,4
4175,4
4179,3
4180,4
4194,4
4196,4
4201,2
4204,2
4205,2
4208,3
4211,2
4227,3
4228,3
4230,3
4231,3
4245,3
4246,2
4247,2
4256,3
4257,3
4258,3
4259,2
4260,2
4261,3
4263,2
4265,2
4284,2
4286,2
4287,2
4298,2
4299,2
4305,3
4306,3
4307,3
4313,3
4318,3
4319,3
4321,3
4323,2
4327,2
4329,3
4330,4
4332,4
4341,2
4349,2
4386,3
4387,3
4388,4
4389,3
4390,4
4412,4
4419,4
4420,3
4421,3
4440,4
4444,4
4446,4
4458,3
4459,4
4460,4
4473,0
4474,1
4475,1
4476,4
4498,3
4502,4
4503,3
4504,3
4505,4
4506,3
4509,3
4511,3
4521,4
4524,4
4526,4
4527,4
4539,4
4586,4
4588,1
4592,4
4648,4
4661,4
4667,4
4668,4
4669,4
4676,4
4678,4
4686,4
4694,4
4696,4
4697,4
4698,1
4699,1
4701,2
4702,3
4703,4
4704,4
4706,3
4707,3
4714,3
4717,4
4721,3
4723,4
4724,4
4726,4
4730,3
4732,3
4742,4
4748,4
4753,4
4772,4
4779,4
4780,4
4781,4
4783,4
4784,3
4786,4
4787,4
4788,4
4789,4
4792,4
4800,4
4803,4
4812,4
4813,4
4817,4
4822,3
4828,3
4830,3
4844,3
4847,3
4848,3
4866,3
4868,3
4871,3
4880,4
4881,4
4882,4
4883,4
4884,1
4885,4
4886,3
4887,2
4888,1
4889,4
4891,3
4892,4
4893,4
4908,1
4913,4
4936,1
4939,1
4941,1
4942,1
4943,1
4950,3
4952,3
4957,3
4960,4
4966,4
4967,4
4969,4
4973,4
4982,4
4983,4
4984,2
4985,4
4999,3
5001,3
5002,4
5003,3
5004,3
5005,3
5015,4
5019,4
5022,4
5023,4
5024,4
5025,3
5028,4
5030,3
5037,4
5050,4
5051,4
5052,4
5053,3
5054,4
5055,2
5105,4
5106,4
5107,4
5109,4
5113,4
5118,4
5121,4
5123,4
5124,4
5126,4
5127,4
5128,4
5129,4
5130,4
5131,4
5132,3
5133,4
5134,4
5135,4
5136,4
5137,4
5138,4
5139,4
5140,4
5141,4
5142,4
5143,4
5144,4
5145,4
5146,4
5163,4
5182,4
5199,3
5280,4
5281,4
5282,4
5283,4
5288,3
5295,4
5298,4
5303,4
5307,4
5322,4
5323,4
5324,3
5325,3
5326,3
5327,4
5328,3
5329,4
5348,3
5349,4
5351,4
5352,4
5354,4
5358,4
5359,4
5361,4
5368,4
5374,4
5375,3
5392,4
5400,4
5403,4
5409,4
5441,3
5442,4
5444,4
5445,4
5446,4
5449,4
5487,3
5508,4
5516,4
5517,4
5518,4
5523,4
5528,4
5533,4
5548,4
5550,4
5551,4
5552,4
5555,4
5564,4
5570,3
5572,4
5573,4
5592,4
5593,4
5600,4
5601,4
5614,4
5624,4
5645,4
5648,4
5649,4
5650,4
5651,4
5652,4
5653,4
5654,4
5655,4
5657,4
5658,4
5662,4
5664,3
5665,4
5666,4
5679,4
5692,4
5706,3
5707,3
5708,3
5709,3
5710,4
5717,3
5718,4
5719,4
5720,3
5721,4
5724,3
5727,3
5737,3
5744,4
5745,4
5752,4
5758,4
5759,4
5764,4
5765,2
5766,3
5771,4
5777,4
5778,4
5798,4
5799,4
5801,4
5802,4
5803,4
5804,4
5807,4
5811,4
5812,4
5813,4
5835,4
5836,4
5837,4
5840,4
5842,4
5843,4
5846,4
5857,3
5893,3
5899,3
5913,4
5914,4
5920,4
5923,4
5924,4
5925,4
5926,4
5930,4
5932,2
5938,3
5939,4
5940,3
5941,4
5942,4
5943,3
5944,4
5945,4
5946,3
5947,4
5948,3
5949,3
5950,2
5951,2
5955,4
5961,2
5964,4
5967,4
5972,4
5974,2
5999,4
6000,4
6003,4
6004,4
6016,2
6017,2
6018,3
6022,3
6023,3
6024,2
6025,2
6026,3
6027,4
6028,3
6029,4
6030,3
6031,4
6032,4
6033,3
6034,2
6035,2
6036,3
6037,2
6039,2
6040,3
6043,3
6046,4
6048,2
6049,4
6051,4
6052,2
6053,3
6061,3
6093,1
6094,1
6095,3
6096,2
6097,2
6098,2
6099,2
6100,2
6101,2
6102,1
6108,2
6198,2
6201,3
6202,3
6203,2
6204,3
6205,3
6207,2
6243,2
6249,2
6250,2
6251,2
6253,2
6281,2
6328,2
6366,3
6379,2
6380,2
6382,2
6386,2
6388,2
6392,2
6393,2
6398,2
6426,2
6436,2
6440,2
6441,2
6444,2
6445,2
6453,2
6454,2
6455,2
6464,2
6479,2
6480,2
6484,2
6487,2
6499,2
6501,2
6503,2
6516,2
6517,2
6518,2
6542,3
6543,2
6544,2
6545,3
6546,4
6547,4
6548,3
6550,3
6551,4
6552,3
6566,4
6567,4
6568,3
6569,4
6575,3
6578,3
6579,3
6580,3
6582,1
6585,4
6587,1
6594,4
6598,4
6600,4
6605,4
6618,1
6619,2
6620,4
6629,1
6630,1
6631,1
6634,4
6639,4
7357,2
7360,2
7361,2
7415,2
7416,3
7417,3
7418,3
7419,3
7420,3
7421,3
7422,4
7423,3
7424,4
7425,4
7426,4
7427,4
7428,4
7429,1
7430,1
7431,4
7432,1
7467,4
7478,1
7530,4
7544,1
7551,4
7558,1
7569,1
7570,4
7573,4
7575,1
7580,1
7602,1
7607,1
7624,4
7625,4
7626,1
7627,4
7631,4
7633,4
7636,4
7640,4
7641,4
7654,4
7660,4
7662,4
7664,4
7665,4
7667,4
7672,4
7674,4
7675,4
7677,4
7678,4
7679,4
7682,4
7684,4
7723,4
7777,4
7789,4
7791,4
7873,1
7874,1
7875,0
7876,1
7877,1
7878,0
7879,1
7880,0
7881,4
7882,4
7883,1
7884,1
7885,0
7886,0
7887,1
7888,1
7889,1
7890,0
7891,4
7892,4
7893,1
7894,1
7895,0
7898,1
7899,1
7900,1
7901,1
7902,1
7903,1
7904,1
7905,1
7906,1
7907,1
7908,1
7909,1
7910,4
7911,1
7912,1
7913,4
7914,1
7915,1
7916,4
7917,1
7918,1
7919,4
7920,4
7921,1
7922,4
7923,4
7924,4
7934,4
7935,1
7936,1
7937,4
7938,4
7939,4
7940,4
7986,1
7990,4
7997,1
8000,1
8001,1
8030,4
8043,1
8046,4
8047,4
8052,4
8066,4
8067,4
8076,3
8085,3
8088,4
8092,3
8093,3
8094,4
8095,3
8097,3
8098,4
8100,3
8173,4
8175,4
8176,4
8177,4
8178,4
8181,4
8184,4
8188,4
8190,4
8192,4
8194,4
8195,4
8196,4
8197,4
8200,4
8203,4
8204,4
8206,4
8224,4
8225,4
8226,4
8244,4
8245,1
8246,4
8247,4
8248,1
8249,1
8250,1
8251,1
8252,4
8253,4
8254,4
8255,4
8256,4
8257,4
8278,1
8279,1
8288,4
8291,1
8295,4
8296,4
8297,1
8298,4
8299,4
8326,4
8472,4
8474,4
8477,1
8493,3
8494,2
8495,2
8500,3
8534,4
8535,1
8536,4
8537,4
8539,1
8540,1
8545,1
8547,4
8548,1
8550,1
8584,4
8638,4
8641,1
8642,1
8643,1
8644,1
8646,1
8649,1
8650,1
8652,1
8653,1
8655,1
8656,1
8657,1
8658,1
8660,1
8828,3
9027,4
9028,1
9042,4
9043,4
9044,4
9045,1
9048,1
9049,4
9050,4
9051,4
9052,4
9053,4
9054,4
9055,4
9056,4
9057,4
9058,4
9059,4
9060,1
9061,1
9062,1
9063,1
9064,4
9065,1
9066,4
9067,1
9068,4
9069,1
9070,4
9155,4
9173,1
9267,1
9268,1
9269,1
9270,1
9271,1
9272,1
9273,1
9274,1
9275,1
9276,1
9288,1
9289,1
9290,1
9291,1
9301,1
9302,1
9303,1
9304,1
9305,1
9306,1
9307,1
9308,1
9309,1
9310,1
9311,1
9312,1
9313,1
9314,1
9315,1
9316,1
9317,1
9318,1
9319,1
9320,1
9330,1
9341,1
9345,4
9351,4
9377,3
9378,3
9395,1
9396,1
9397,1
9398,1
9399,1
9400,1
9407,1
9409,1
9412,1
9416,1
9418,4
9421,4
9423,1
9424,1
9426,1
9428,1
9430,1
9454,1
9488,1
9489,1
9490,1
9491,1
9492,1
9507,1
9508,1
9509,1
9510,1
9529,1
9530,1
9531,1
9532,1
9533,3
9534,1
9535,1
9536,1
9537,1
9538,1
9539,1
9610,3
9611,3
9612,3
9613,4
9616,3
9619,4
9620,3
9621,3
9622,3
9623,3
9624,3
9625,3
9626,4
9627,3
9628,3
9631,4
9632,4
9742,4
9743,1
9744,4
9746,4
9749,3
9753,3
9761,4
9763,4
9764,3
9765,3
9779,4
9780,4
9782,4
9783,4
9784,4
9794,1
9795,1
9796,4
9797,1
9799,1
9800,4
9801,3
9802,4
9803,4
9804,4
9819,4
9822,3
9825,3
9835,3
9836,3
9837,3
9838,3
9839,3
9840,3
9841,3
9842,3
9843,3
9844,3
9847,4
9851,4
9852,4
9853,4
9858,4
9863,4
9878,4
9879,3
9880,3
9881,3
9882,3
9883,3
9884,3
9885,4
9886,4
9887,3
9888,4
9889,4
9890,3
9891,4
9914,2
9938,2
9939,4
9957,3
9959,3
9960,3
9961,2
9962,2
9963,2
9964,2
9965,4
9966,2
9967,4
9968,4
9972,4
9973,4
9974,4
10013,2
10027,2
10029,4
10030,3
10032,3
10043,3
10049,4
10051,4
10052,4
10053,4
10054,3
10055,2
10056,2
10057,2
10069,2
10157,2
10167,4
10168,3
10169,4
10171,3
10172,4
10173,4
10174,3
10175,3
10176,4
10177,4
10178,4
10179,4
10180,4
10181,4
10182,1
10183,4
10184,4
10185,4
10186,4
10187,4
10188,4
10189,3
10190,3
10191,3
10192,4
10193,3
10195,3
10196,4
10197,3
10198,3
10200,4
10202,4
10203,4
10204,4
10205,4
10206,3
10207,4
10208,3
10209,3
10389,1
10442,2
10443,2
10444,3
10445,2
10446,3
10460,2
10461,2
10462,2
10463,2
10464,2
10465,2
10466,2
10467,2
10522,2
10553,4
10557,3
10559,4
10560,4
10561,4
10563,2
10566,4
10567,3
10568,4
10578,2
10588,2
10589,2
10599,2
10600,3
10602,2
10607,2
10635,2
10636,2
10637,2
10638,2
10639,2
10640,2
10641,2
10642,2
10643,2
10644,2
10645,3
10646,3
10647,2
10648,4
10649,3
10650,3
10651,4
10652,4
10653,4
10654,2
10655,2
10656,2
10657,2
10662,3
10663,3
10664,3
10694,3
10695,4
10734,1
10797,4
10801,4
10809,3
10832,3
10833,3
10836,1
10847,2
10848,2
10871,2
10872,2
10873,4
10990,2
10991,2
10999,1
11000,1
11024,3
11051,4
11056,4
11087,4
11097,4
11098,4
11099,4
11101,4
11104,4
11105,4
11106,4
11108,4
11124,4
11125,4
11127,4
11133,4
11136,4
11154,4
11159,4
11160,4
11161,4
11214,4
11220,4
11221,4
11223,4
11227,4
11228,4
11229,4
11233,4
11235,4
11236,4
11241,4
11242,4
11243,4
11244,4
11245,4
11246,4
11250,4
11253,4
11257,4
11267,4
11270,4
11275,4
11279,4
11280,4
11283,4
11291,4
11292,4
11323,4
11324,4
11325,4
11326,4
11327,4
11334,4
11338,4
11351,4
11361,4
11364,4
11367,4
11376,4
11386,4
11398,4
11399,4
11403,4
11404,4
11407,4
11408,4
11409,4
11472,4
11473,4
11474,4
11475,4
11476,4
11477,4
11479,4
11480,4
11514,4
11523,4
11524,4
11525,4
11526,4
11527,4
11528,4
11529,4
11530,4
11531,4
11533,4
11534,4
11535,4
11536,4
11537,4
11538,4
11539,4
11540,4
11541,4
11542,4
11543,4
11544,4
11545,4
11546,4
11547,4
11550,3
11554,3
11555,3
11556,3
11557,3
11558,3
11559,3
11560,3
11561,3
11562,3
11563,4
11564,1
11565,4
11566,4
11567,4
11568,3
11569,3
11570,3
11571,3
11575,3
11577,3
11579,3
11580,4
11581,4
11583,4
11584,2
11587,3
11588,4
11589,3
11594,3
11595,3
11596,4
11641,3
11642,3
11644,4
11645,4
11646,4
11648,4
11649,4
11656,4
11666,4
11667,4
11668,4
11669,4
11682,4
11688,4
11689,4
11690,4
11692,4
11694,4
11695,4
11697,4
11698,4
11699,4
11707,4
11708,4
11709,4
11718,4
11721,4
11722,4
11723,4
11724,3
11725,4
11726,3
11728,3
11729,3
11740,4
11741,4
11742,4
11743,4
11744,4
11754,4
11755,4
11756,4
11757,4
11758,4
11761,4
11764,4
11773,4
11774,4
11775,4
11776,4
11777,4
11778,4
11790,4
11791,4
11792,4
11807,4
11815,4
11816,4
11819,4
11820,4
11825,4
13190,2
13191,2
13192,2
13193,2
13194,2
13195,2
13196,3
13201,2
13203,3
13204,4
13205,2
13206,4
13209,4
13219,2
13221,2
13222,2
13224,2
13229,2
13231,2
13234,2
13235,2
13236,2
13237,2
13239,2
13240,2
13241,2
13242,2
13243,2
13245,2
13246,2
13286,2
13288,4
13291,4
13294,2
13295,2
13296,4
13302,1
13306,1
13307,4
13308,1
13322,4
13324,4
13325,4
13360,2
13766,2
13768,2
13769,2
13773,2
13774,2
13776,2
13777,2
13779,2
13780,2
13783,2
13785,2
13786,2
13821,2
13823,2
13824,2
13826,2
13827,2
13829,2
13852,2
13853,2
13854,2
13855,2
13856,2
13857,2
13882,1
13884,2
13885,2
13886,2
13887,2
13888,2
13889,2
13902,1
13903,1
14290,2
14291,2
14292,2
14293,2
14294,2
14295,2
14296,2
14297,2
14308,2
14309,2
14310,2
14311,2
14312,2
14313,2
14314,1
14315,2
14316,2
14317,2
14318,2
14342,2
14343,2
14384,2
14390,2
14393,4
14395,2
14399,3
14400,4
14401,3
14452,2
14494,2
14502,2
14503,2
14504,2
14506,2
14507,2
14508,2
14509,2
14515,2
14516,2
14517,2
14518,2
14521,2
14522,2
14523,3
14526,2
14528,2
14529,3
14530,2
14532,2
14538,2
14539,2
14670,2
14671,2
14672,2
14673,2
14674,3
14675,3
14676,3
14677,2
14678,2
14679,2
14691,2
14692,2
14693,2
14694,2
14695,2
14696,2
14697,2
14709,3
14711,2
14712,2
14727,3
14728,2
14729,2
14730,4
14732,3
14733,4
14734,3
14736,4
14738,2
14739,2
14740,2
14761,2
14762,1
14763,1
14764,2
14767,4
14768,2
14870,3
14871,4
14872,2
14873,4
14874,4
14875,3
14876,3
14898,2
14900,2
14901,2
14902,2
14903,2
14904,2
14925,2
14926,3
14927,3
14928,3
14929,2
14930,2
14931,3
14932,3
14933,2
14934,2
14935,2
14936,2
14937,2
14946,2
14947,3
14949,3
14950,3
14951,4
14955,3
14956,3
14957,3
14960,4
14962,4
14964,4
14974,2
14975,2
14976,2
14977,2
14982,1
15019,3
15020,4
15021,1
15022,4
15023,4
15024,4
15025,4
15026,4
15027,4
15028,1
15029,1
15031,1
15032,1
15033,1
15034,1
15035,1
15036,1
15037,1
15038,4
15039,4
15040,4
15041,4
15042,1
15043,1
15114,1
15115,1
15116,1
15117,4
15118,4
15119,4
15120,4
15121,1
15122,1
15123,1
15124,1
15129,4
15130,4
15156,4
15159,3
15160,3
15163,3
15165,4
15168,4
15172,4
15173,3
15174,4
15187,4
15188,2
15189,2
15190,2
15191,2
15192,2
15193,2
15194,2
15195,2
15196,3
15204,2
15205,2
15207,2
15208,2
15253,4
15254,4
15255,4
15256,4
15257,4
15259,4
15260,4
15261,3
15262,4
15263,4
15264,4
15265,2
15266,4
15267,4
15276,2
15285,2
15286,2
15310,2
15382,3
15384,3
15385,3
15386,3
15387,3
15414,4
15415,4
15416,4
15423,4
15424,4
15425,2
15426,2
15427,4
15428,2
15457,4
15462,4
15463,4
15467,3
15470,3
15482,2
15484,3
15485,3
15532,2
15614,2
15638,2
15642,2
15644,2
15651,2
15679,2
15680,2
15681,2
15682,2
15683,2
15686,2
15687,2
15688,2
15689,2
15690,2
15691,2
15692,2
15697,4
15698,3
15699,3
15771,2
15772,2
15773,2
15775,2
15776,2
15777,2
15783,2
15785,2
15790,2
15800,2
15826,2
15827,2
15828,2
15829,2
15830,2
15832,2
15987,4
15993,1
15994,1
15996,1
15999,4
16006,1
16150,4
16151,4
16152,4
16153,4
16306,3
16307,4
16308,4
16309,4
16310,4
16311,4
16312,4
16313,4
16314,3
16318,2
16345,2
16349,4
16350,3
16351,3
16378,3
16380,2
16385,3
16387,3
16402,2
16405,2
16436,3
16507,3
16509,2
16510,3
16511,3
16568,3
16574,0
16575,4
16576,1
16577,4
16578,0
16579,0
16580,0
16581,0
16585,1
16587,4
16589,2
16591,2
16593,0
16594,4
16595,2
16596,1
16597,2
16598,1
16599,3
16600,3
16601,1
16602,2
16603,2
16607,0
16608,1
16609,2
16610,2
16611,3
16612,1
16613,3
16614,4
16617,4
16618,1
16623,1
16624,4
16625,4
16626,4
16646,4
16647,4
16648,4
16649,4
16650,4
16652,1
16653,4
16654,1
16655,1
16656,4
16657,4
16659,4
16660,4
16661,1
16662,4
16663,1
16664,4
16674,4
16675,4
16676,1
16684,4
16688,2
16689,2
16691,2
16693,4
16710,4
16711,4
16712,4
16748,4
16751,4
16753,3
16754,3
16755,3
16758,3
16759,3
16760,3
16764,3
16766,4
16767,1
16768,1
16769,4
16770,4
16771,4
16776,4
16777,4
16778,1
16781,4
16782,4
16783,4
16786,4
16787,4
16791,4
16792,4
16809,4
16810,3
16832,4
16850,4
16858,4
16860,4
16862,4
16870,4
16883,4
16885,4
16887,4
16889,4
16902,4
16913,4
16921,4
16961,3
16962,1
16963,1
16964,1
16965,1
16966,1
16969,4
16991,4
17001,4
17002,4
17003,4
17004,4
17005,4
17006,4
17007,4
17049,4
17050,4
17051,4
17112,3
17119,3
17156,4
17157,4
17158,4
17159,4
17160,4
17161,4
17162,4
17163,4
17164,4
17165,4
17166,4
17167,4
17432,2
17433,2
17436,2
17438,3
17461,2
17462,2
17467,4
17469,3
17634,2
17635,2
17642,2
17643,2
17644,2
17645,2
17646,2
17648,2
17649,2
17650,2
17651,2
17652,2
17653,2
17654,2
17686,2
17687,2
17688,2
17689,2
17690,2
17691,2
17692,2
17693,2
17694,2
17696,2
17697,2
17896,1
17950,1
17951,1
17952,1
17953,1
17958,1
17959,1
17961,1
17968,1
17969,1
17970,1
18019,3
18020,3
18041,4
18052,3
18070,1
18078,1
18093,1
18094,1
18095,4
18096,4
18097,4
18253,4
18254,4
18256,3
18257,4
18259,4
18279,1
18292,4
18310,1
18333,4
18388,4
18393,4
18408,4
18409,4
18410,4
18412,4
18414,4
18415,4
18416,4
18421,1
18422,1
18425,4
18429,4
18430,4
18431,4
18435,1
18436,4
18437,4
18438,4
18441,4
18442,4
18444,4
18453,4
18457,4
18458,4
18460,4
18462,4
18463,4
18466,4
18467,4
18469,4
18470,4
18481,1
18482,1
18483,1
18484,1
18485,1
18486,1
18487,1
18488,1
18489,1
18492,4
18494,1
18495,1
18496,1
18497,1
18498,4
18499,1
18502,1
18503,1
18505,1
18506,1
18507,1
18508,1
18509,1
18510,1
18511,1
18512,1
18513,4
18514,1
18515,1
18516,1
18517,1
18657,1
18674,1
18675,1
18677,1
18678,1
18679,1
18680,1
18681,1
18683,1
18708,1
18711,1
18712,1
18713,1
18714,1
18717,1
18721,1
18722,1
18724,1
18725,1
18727,1
18740,1
18741,1
18742,1
18743,1
18744,1
18745,1
18746,1
18747,1
18748,1
18760,1
18761,1
18764,1
18767,1
18768,1
18770,1
18820,1
18822,1
18823,1
18824,1
18825,1
18829,1
18836,4
18877,1
18878,1
18906,4
18907,1
18908,1
18909,4
19003,1
19004,1
19007,1
19066,1
19067,1
19068,1
19069,1
19094,4
19097,1
19099,4
19105,1
19108,1
19109,1
19130,1
19159,1
19161,1
19171,1
19173,1
19175,4
19202,1
19203,1
19296,1
19297,1
19299,1
19300,1
19308,1
19312,1
19313,1
19323,1
19324,1
19407,4
19408,1
19409,1
19410,1
19411,1
19544,4
19547,1
19548,4
19552,4
19558,4
19564,4
19566,4
19567,4
19598,4
19599,4
19619,4
19626,1
19627,1
19628,1
19662,1
19664,1
19666,4
19686,4
19687,4
19691,4
19692,4
19693,4
19694,4
19741,4
19742,4
19747,4
19758,4
19759,4
19809,1
19810,1
19811,1
19812,1
19813,4
19830,1
19831,1
19832,1
19844,4
19847,4
19848,4
19849,4
19850,4
19851,4
19852,4
19860,4
19861,4
19863,4
19865,4
19866,4
19867,4
19868,4
19869,4
19870,4
19871,4
19876,4
19877,4
19878,4
19879,1
19880,4
19881,4
19883,4
19884,4
19887,4
19888,4
19889,4
19890,1
19892,4
19893,4
19909,4
19912,4
19916,4
19917,4
19918,4
19923,4
19930,4
19934,4
19942,4
19945,4
19947,4
19948,4
19949,4
19950,4
19960,4
19962,4
19977,4
19983,4
19992,4
20012,1
20013,1
20015,4
20016,1
20017,1
20018,4
20019,1
20020,1
20021,1
20023,1
20024,1
20026,1
20027,1
20028,1
20029,1
20030,4
20033,1
20034,4
20035,4
20037,4
20038,1
20039,4
20041,1
20042,4
20045,1
20046,1
20048,1
20049,1
20050,1
20051,1
20225,1
20226,1
20227,1
20228,1
20229,1
20230,1
20231,1
20232,1
20233,1
20234,1
20235,1
20236,1
20237,1
20238,1
20239,1
20240,1
20241,1
20242,1
20271,1
20275,1
20277,1
20305,1
20328,1
20329,1
20330,1
20331,1
20332,1
20334,1
20335,4
20336,1
20338,1
20339,1
20341,1
20342,1
20343,1
20345,1
20349,1
20350,1
20351,1
20352,1
20355,1
20404,4
20411,4
20420,3
20424,4
20426,4
20428,4
20429,4
20430,4
20431,4
20433,4
20434,4
20435,1
20436,4
20447,1
20448,4
20449,1
20452,4
20457,1
20459,1
20469,4
20478,3
20481,4
20485,4
20486,4
20488,4
20497,3
20498,4
20504,3
20513,4
20521,4
20527,4
20528,4
20529,3
20530,4
20531,4
20532,1
20533,1
20534,4
20536,4
20539,4
20540,1
20543,4
20545,3
20547,4
20548,3
20551,4
20555,4
20556,4
20561,4
20562,4
20570,3
20572,4
20573,4
20575,4
20578,4
20587,3
20589,4
20591,4
20592,1
20593,3
20619,4
20620,4
20623,4
20625,4
20626,4
20628,4
20629,4
20630,4
20639,4
20642,3
20658,4
20659,4
20660,4
20663,4
20665,4
20666,4
20673,4
20674,3
20676,2
20678,4
20679,4
20721,3
20723,3
20724,3
20725,3
20727,1
20728,2
20729,3
20732,1
20738,4
20739,1
20741,4
20750,4
20757,4
20759,4
20760,4
20761,4
20763,4
20764,4
20770,1
20771,1
20882,4
20883,4
20887,4
20888,4
20889,4
20890,4
20894,4
20897,4
20900,4
20901,3
20905,4
20907,3
20911,4
20913,4
20916,4
20918,4
20919,1
20920,4
20921,4
20922,4
20932,4
20949,4
20953,4
20980,4
20981,4
20982,4
20984,4
20986,4
21027,2
21035,4
21044,4
21051,4
21155,4
21168,4
21172,4
21173,4
21174,4
21176,4
21177,3
21184,2
21185,3
21186,3
21208,4
21210,4
21226,4
21229,3
21230,3
21231,3
21233,3
21234,3
21261,4
21288,3
21291,4
21319,4
21320,2
21360,3
21361,3
21362,3
21363,4
21367,4
21369,4
21374,4
21375,4
21376,4
21377,4
21405,4
21406,4
21411,4
21412,4
21413,4
21416,1
21418,1
21419,1
21426,4
21427,4
21430,4
21433,4
21436,1
21437,4
21438,1
21440,3
21442,4
21444,4
21477,3
21512,3
21513,4
21514,3
21515,3
21516,3
21517,3
21518,3
21519,4
21520,2
21521,3
21522,3
21523,3
21525,4
21526,1
21529,4
21533,4
21537,4
21538,4
21542,4
21550,4
21562,4
21566,4
21568,4
21577,4
21579,1
21580,2
21765,1
21780,3
21781,3
21782,3
21790,4
21791,4
21792,4
21793,4
21794,4
21795,3
21796,4
21797,4
21798,4
21799,1
21842,1
21843,4
21844,4
21845,3
21846,4
21847,1
21848,4
21849,4
21850,4
21851,3
21852,4
21853,4
21854,4
21855,3
21856,4
21857,4
21858,4
21859,4
21860,4
21861,4
21863,1
21866,4
21913,4
21914,4
21915,4
