,labelSrNd
9863,4
9878,2
9879,2
9880,3
9881,2
9882,2
9883,3
9884,3
9885,2
9886,2
9887,2
9888,2
9889,2
9890,2
9891,2
9914,2
9938,2
9939,2
9957,2
9959,2
9960,2
9961,2
9962,2
9963,2
9964,2
9965,2
9966,2
9967,2
9968,2
9972,2
9973,2
9974,2
10013,2
10027,2
10029,2
10030,2
10032,2
10043,2
10049,2
10051,2
10052,2
10053,2
10054,2
10055,2
10056,2
10057,2
10069,2
10157,2
10167,2
10168,2
10169,2
10171,2
10172,2
10173,2
10174,2
10175,3
10176,2
10177,2
10178,1
10179,2
10180,4
10181,4
10182,1
10183,0
10184,2
10185,2
10186,2
10187,2
10188,0
10189,3
10190,3
10191,2
10192,4
10193,3
10195,2
10196,2
10197,3
10198,3
10200,2
10202,2
10203,2
10204,4
10205,4
10206,2
10207,2
10208,2
10209,2
10389,2
10442,2
10443,0
10444,3
10445,2
10446,3
10460,0
10461,0
10462,0
10463,0
10464,0
10465,0
10466,0
10467,0
10522,2
10553,2
10557,2
10559,2
10560,2
10561,2
10563,2
10566,2
10567,2
10568,2
10578,2
10588,2
10589,2
10599,2
10600,2
10602,2
10607,2
10635,2
10636,2
10637,2
10638,2
10639,2
10640,2
10641,2
10642,2
10643,2
10644,2
10645,2
10646,2
10647,2
10648,2
10649,2
10650,2
10651,2
10652,0
10653,2
10654,2
10655,2
10656,2
10657,2
10662,2
10663,2
10664,2
10694,2
10695,2
10734,1
10797,4
10801,2
10809,2
10832,2
10833,2
10836,1
10847,2
10848,2
10871,2
10872,2
10873,2
10990,2
10991,2
10999,0
11000,0
11024,2
11051,4
11056,4
11087,4
11097,2
11098,2
11099,2
11101,2
11104,2
11105,2
11106,2
11108,2
11124,2
11125,2
11127,2
11133,2
11136,2
11154,4
11159,2
11160,2
11161,2
11214,4
11220,4
11221,1
11223,1
11227,4
11228,4
11229,4
11233,4
11235,4
11236,4
11241,4
11242,4
11243,0
11244,4
11245,4
11246,4
11250,4
11253,4
11257,4
11267,4
11270,4
11275,4
11279,4
11280,4
11283,4
11291,4
11292,0
11323,2
11324,2
11325,2
11326,2
11327,2
11334,2
11338,2
11351,2
11361,2
11364,2
11367,4
11376,2
11386,4
11398,4
11399,4
11403,2
11404,2
11407,2
11408,2
11409,4
11472,0
11473,4
11474,2
11475,4
11476,2
11477,0
11479,2
11480,0
11514,0
11523,4
11524,4
11525,4
11526,4
11527,4
11528,4
11529,4
11530,4
11531,4
11533,4
11534,4
11535,4
11536,4
11537,0
11538,0
11539,2
11540,2
11541,2
11542,2
11543,2
11544,2
11545,2
11546,2
11547,2
11550,2
11554,2
11555,2
11556,2
11557,2
11558,2
11559,2
11560,2
11561,3
11562,2
11563,4
11564,1
11565,2
11566,4
11567,4
11568,3
11569,2
11570,2
11571,2
11575,2
11577,3
11579,2
11580,2
11581,4
11583,4
11584,2
11587,2
11588,4
11589,2
11594,2
11595,2
11596,4
11641,2
11642,2
11644,0
11645,4
11646,0
11648,2
11649,1
11656,4
11666,0
11667,2
11668,2
11669,1
11682,2
11688,4
11689,4
11690,4
11692,2
11694,2
11695,0
11697,1
11698,2
11699,1
11707,4
11708,0
11709,4
11718,4
11721,4
11722,1
11723,4
11724,3
11725,4
11726,2
11728,2
11729,2
11740,4
11741,4
11742,4
11743,0
11744,4
11754,4
11755,4
11756,4
11757,4
11758,4
11761,4
11764,4
11773,4
11774,4
11775,4
11776,4
11777,4
11778,4
11790,4
11791,4
11792,4
11807,4
11815,4
11816,4
11819,4
11820,4
11825,4
13190,2
13191,2
13192,2
13193,2
13194,2
13195,2
13196,2
13201,2
13203,2
13204,2
13205,2
13206,2
13209,2
13219,2
13221,2
13222,2
13224,2
13229,2
13231,2
13234,2
13235,2
13236,2
13237,2
13239,2
13240,2
13241,2
13242,2
13243,2
13245,2
13246,2
13286,2
13288,2
13291,2
13294,2
13295,2
13296,0
13302,1
13306,1
13307,0
13308,1
13322,0
13324,2
13325,2
13360,2
13766,2
13768,2
13769,2
13773,2
13774,2
13776,0
13777,2
13779,2
13780,2
13783,0
13785,2
13786,0
13821,2
13823,2
13824,2
13826,2
13827,2
13829,2
13852,2
13853,2
13854,2
13855,2
13856,2
13857,2
13882,0
13884,2
13885,2
13886,2
13887,2
13888,2
13889,2
13902,1
13903,1
14290,2
14291,2
14292,2
14293,2
14294,2
14295,2
14296,2
14297,2
14308,2
14309,2
14310,0
14311,2
14312,2
14313,2
14314,0
14315,2
14316,2
14317,2
14318,2
14342,2
14343,2
14384,2
14390,2
14393,2
14395,2
14399,2
14400,2
14401,2
14452,2
14494,0
14502,2
14503,2
14504,2
14506,2
14507,2
14508,2
14509,0
14515,2
14516,0
14517,2
14518,2
14521,2
14522,2
14523,2
14526,2
14528,2
14529,3
14530,2
14532,2
14538,2
14539,2
14670,2
14671,2
14672,2
14673,2
14674,2
14675,2
14676,2
14677,2
14678,2
14679,2
14691,2
14692,2
14693,2
14694,2
14695,2
14696,2
14697,2
14709,2
14711,2
14712,2
14727,2
14728,2
14729,2
14730,2
14732,3
14733,4
14734,2
14736,2
14738,2
14739,2
14740,2
14761,2
14762,0
14763,0
14764,2
14767,0
14768,2
14870,3
14871,2
14872,2
14873,2
14874,2
14875,2
14876,2
14898,2
14900,2
14901,2
14902,2
14903,2
14904,2
14925,2
14926,2
14927,3
14928,2
14929,2
14930,2
14931,2
14932,2
14933,2
14934,2
14935,2
14936,2
14937,2
14946,2
14947,3
14949,2
14950,2
14951,2
14955,2
14956,2
14957,3
14960,2
14962,2
14964,2
14974,2
14975,2
14976,2
14977,2
14982,0
15019,2
15020,1
15021,1
15022,4
15023,2
15024,1
15025,0
15026,4
15027,1
15028,1
15029,1
15031,1
15032,1
15033,1
15034,1
15035,1
15036,1
15037,1
15038,4
15039,4
15040,0
15041,4
15042,1
15043,1
15114,1
15115,0
15116,1
15117,1
15118,4
15119,4
15120,1
15121,1
15122,1
15123,1
15124,1
15129,1
15130,4
15156,2
15159,2
15160,3
15163,2
15165,2
15168,2
15172,2
15173,3
15174,2
15187,2
15188,2
15189,2
15190,2
15191,2
15192,2
15193,2
15194,2
15195,2
15196,2
15204,2
15205,2
15207,2
15208,2
15253,2
15254,2
15255,2
15256,2
15257,2
15259,2
15260,2
15261,2
15262,2
15263,2
15264,0
15265,2
15266,2
15267,2
15276,2
15285,2
15286,2
15310,2
15382,2
15384,2
15385,2
15386,2
15387,2
15414,2
15415,2
15416,2
15423,2
15424,2
15425,2
15426,2
15427,2
15428,2
15457,2
15462,2
15463,4
15467,2
15470,3
15482,2
15484,3
15485,2
15532,2
15614,2
15638,2
15642,2
15644,2
15651,2
15679,2
15680,2
15681,2
15682,2
15683,2
15686,2
15687,2
15688,2
15689,2
15690,2
15691,2
15692,2
15697,2
15698,3
15699,2
15771,2
15772,2
15773,2
15775,2
15776,2
15777,2
15783,2
15785,2
15790,2
15800,2
15826,2
15827,2
15828,2
15829,2
15830,2
15832,2
15987,2
15993,1
15994,1
15996,1
15999,1
16006,1
16150,2
16151,0
16152,2
16153,0
16306,2
16307,2
16308,0
16309,2
16310,2
16311,0
16312,2
16313,2
16314,2
16318,2
16345,0
16349,2
16350,2
16351,2
16378,2
16380,2
16385,2
16387,2
16402,2
16405,2
16436,2
16507,2
16509,2
16510,2
16511,2
16568,2
16574,0
16575,2
16576,1
16577,1
16578,0
16579,0
16580,0
16581,0
16585,1
16587,2
16589,2
16591,2
16593,0
16594,2
16595,2
16596,1
16597,2
16598,1
16599,2
16600,2
16601,0
16602,2
16603,2
16607,0
16608,0
16609,2
16610,2
16611,2
16612,1
16613,2
16614,4
16617,2
16618,1
16623,1
16624,2
16625,4
16626,2
16646,0
16647,4
16648,0
16649,4
16650,4
16652,1
16653,4
16654,1
16655,1
16656,4
16657,4
16659,4
16660,4
16661,1
16662,1
16663,1
16664,4
16674,2
16675,0
16676,1
16684,2
16688,2
16689,2
16691,2
16693,2
16710,4
16711,0
16712,2
16748,4
16751,2
16753,2
16754,2
16755,2
16758,2
16759,2
16760,2
16764,2
16766,2
16767,1
16768,1
16769,4
16770,4
16771,4
16776,4
16777,4
16778,1
16781,0
16782,0
16783,0
16786,4
16787,4
16791,2
16792,2
16809,2
16810,2
16832,4
16850,4
16858,1
16860,1
16862,0
16870,4
16883,0
16885,0
16887,4
16889,4
16902,1
16913,0
16921,4
16961,2
16962,0
16963,0
16964,1
16965,1
16966,1
16969,2
16991,2
17001,2
17002,2
17003,2
17004,2
17005,2
17006,2
17007,2
17049,4
17050,4
17051,4
17112,2
17119,2
17156,4
17157,4
17158,4
17159,1
17160,4
17161,4
17162,4
17163,4
17164,0
17165,1
17166,4
17167,2
17432,2
17433,2
17436,2
17438,2
17461,2
17462,2
17467,2
17469,2
17634,2
17635,2
17642,0
17643,2
17644,2
17645,2
17646,2
17648,2
17649,2
17650,2
17651,2
17652,2
17653,2
17654,0
17686,2
17687,2
17688,2
17689,2
17690,2
17691,2
17692,2
17693,2
17694,2
17696,2
17697,2
17896,1
17950,1
17951,1
17952,1
17953,1
17958,1
17959,1
17961,1
17968,1
17969,1
17970,1
18019,2
18020,2
18041,2
18052,2
18070,1
18078,1
18093,1
18094,1
18095,1
18096,1
18097,1
18253,4
18254,1
18256,2
18257,1
18259,1
18279,1
18292,4
18310,1
18333,0
18388,1
18393,1
18408,4
18409,4
18410,1
18412,4
18414,4
18415,4
18416,1
18421,1
18422,1
18425,1
18429,1
18430,4
18431,4
18435,1
18436,4
18437,4
18438,4
18441,4
18442,2
18444,1
18453,4
18457,1
18458,4
18460,4
18462,4
18463,4
18466,4
18467,4
18469,1
18470,4
18481,1
18482,1
18483,1
18484,1
18485,1
18486,1
18487,1
18488,1
18489,1
18492,1
18494,1
18495,1
18496,1
18497,1
18498,0
18499,1
18502,1
18503,1
18505,1
18506,1
18507,1
18508,1
18509,1
18510,1
18511,1
18512,1
18513,1
18514,1
18515,1
18516,1
18517,1
18657,1
18674,1
18675,1
18677,1
18678,1
18679,1
18680,1
18681,1
18683,1
18708,1
18711,1
18712,1
18713,1
18714,1
18717,1
18721,1
18722,1
18724,1
18725,1
18727,1
18740,1
18741,1
18742,1
18743,1
18744,1
18745,1
18746,1
18747,1
18748,1
18760,1
18761,1
18764,1
18767,1
18768,1
18770,0
18820,1
18822,1
18823,1
18824,1
18825,1
18829,1
18836,2
18877,1
18878,1
18906,1
18907,1
18908,1
18909,1
19003,0
19004,0
19007,0
19066,1
19067,1
19068,1
19069,1
19094,1
19097,0
19099,1
19105,1
19108,1
19109,1
19130,1
19159,1
19161,1
19171,1
19173,0
19175,1
19202,1
19203,1
19296,1
19297,1
19299,1
19300,1
19308,1
19312,1
19313,1
19323,1
19324,1
19407,2
19408,1
19409,1
19410,1
19411,1
19544,1
19547,1
19548,1
19552,1
19558,2
19564,0
19566,0
19567,0
19598,4
19599,4
19619,0
19626,1
19627,1
19628,1
19662,1
19664,1
19666,0
19686,1
19687,0
19691,2
19692,1
19693,1
19694,2
19741,2
19742,0
19747,1
19758,0
19759,1
19809,1
19810,1
19811,1
19812,1
19813,0
19830,1
19831,1
19832,1
19844,2
19847,0
19848,0
19849,0
19850,0
19851,0
19852,0
19860,2
19861,0
19863,0
19865,0
19866,0
19867,0
19868,0
19869,0
19870,0
19871,0
19876,0
19877,0
19878,0
19879,1
19880,0
19881,0
19883,1
19884,0
19887,0
19888,0
19889,0
19890,1
19892,1
19893,0
19909,2
19912,2
19916,2
19917,0
19918,0
19923,0
19930,0
19934,0
19942,2
19945,0
19947,0
19948,2
19949,0
19950,0
19960,2
19962,2
19977,2
19983,2
19992,2
20012,1
20013,1
20015,0
20016,1
20017,1
20018,1
20019,1
20020,1
20021,1
20023,1
20024,1
20026,1
20027,1
20028,1
20029,1
20030,1
20033,1
20034,1
20035,1
20037,1
20038,1
20039,1
20041,1
20042,1
20045,1
20046,1
20048,1
20049,1
20050,1
20051,1
20225,1
20226,1
20227,1
20228,1
20229,1
20230,1
20231,1
20232,1
20233,1
20234,1
20235,1
20236,1
20237,1
20238,1
20239,1
20240,1
20241,1
20242,1
20271,1
20275,1
20277,1
20305,1
20328,1
20329,1
20330,1
20331,1
20332,1
20334,1
20335,4
20336,1
20338,1
20339,1
20341,1
20342,1
20343,1
20345,1
20349,1
20350,1
20351,1
20352,1
20355,1
20404,1
20411,0
20420,2
20424,0
20426,0
20428,4
20429,4
20430,0
20431,4
20433,1
20434,4
20435,0
20436,4
20447,1
20448,4
20449,1
20452,2
20457,1
20459,1
20469,2
20478,2
20481,2
20485,4
20486,4
20488,2
20497,2
20498,4
20504,2
20513,1
20521,2
20527,4
20528,2
20529,2
20530,4
20531,1
20532,1
20533,1
20534,4
20536,2
20539,4
20540,1
20543,0
20545,2
20547,4
20548,2
20551,4
20555,2
20556,0
20561,2
20562,4
20570,2
20572,2
20573,4
20575,4
20578,2
20587,2
20589,2
20591,2
20592,1
20593,2
20619,1
20620,2
20623,0
20625,4
20626,4
20628,1
20629,2
20630,4
20639,4
20642,2
20658,1
20659,0
20660,1
20663,2
20665,0
20666,4
20673,4
20674,2
20676,2
20678,4
20679,0
20721,2
20723,2
20724,2
20725,2
20727,0
20728,2
20729,2
20732,0
20738,0
20739,0
20741,4
20750,0
20757,4
20759,4
20760,4
20761,2
20763,0
20764,0
20770,0
20771,1
20882,0
20883,4
20887,4
20888,4
20889,4
20890,4
20894,4
20897,1
20900,4
20901,2
20905,4
20907,2
20911,1
20913,1
20916,4
20918,4
20919,1
20920,1
20921,4
20922,0
20932,2
20949,4
20953,0
20980,4
20981,4
20982,4
20984,4
20986,4
21027,2
21035,0
21044,2
21051,2
21155,0
21168,2
21172,2
21173,0
21174,0
21176,2
21177,2
21184,2
21185,2
21186,2
21208,2
21210,2
21226,2
21229,2
21230,2
21231,2
21233,2
21234,2
21261,2
21288,2
21291,0
21319,4
21320,2
21360,2
21361,2
21362,2
21363,2
21367,2
21369,2
21374,2
21375,2
21376,2
21377,2
21405,2
21406,2
21411,1
21412,2
21413,1
21416,1
21418,1
21419,1
21426,1
21427,1
21430,4
21433,0
21436,1
21437,4
21438,1
21440,2
21442,2
21444,2
21477,2
21512,3
21513,2
21514,2
21515,2
21516,2
21517,2
21518,2
21519,2
21520,2
21521,3
21522,3
21523,2
21525,4
21526,1
21529,4
21533,4
21537,4
21538,4
21542,4
21550,4
21562,4
21566,4
21568,4
21577,4
21579,0
21580,2
21765,1
21780,2
21781,2
21782,2
21790,2
21791,2
21792,2
21793,2
21794,2
21795,2
21796,2
21797,2
21798,2
21799,1
21842,1
21843,2
21844,2
21845,2
21846,2
21847,1
21848,4
21849,4
21850,2
21851,2
21852,2
21853,2
21854,2
21855,2
21856,2
21857,2
21858,2
21859,2
21860,2
21861,2
21863,1
21866,1
21913,4
21914,4
21915,4
